Title,Price,Description,Location
"
        8bdrm Duplex in East Legon, American House for Rent
    ","
        GH₵ 38,000
    ","
                            A very nice anf spacious 8 bedrooms and a boys cotters self compound nicely crafted with a very bif...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 350
    ","
                            Neat chamber and hall self contained.
Located at kasoa obum road.
going for 350gh 
1 year rent.
wall...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in Addogonno, Accra Metropolitan for Rent
    ","
        GH₵ 1,100
    ","
                            Features:
Bedroom
Washroom
Fitted kitchen with cabinet
Living room
Ceiling fans
Water reservoir...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 500
    ","
                            Newly built 2bedroom apartment.
Located at Kasoa Tuba road
going for 500gh accept 1year rent....
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        4bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 40,000
    ","
                            Newly built executive spacious 4Bedroom self compound house with boy's quarters and a swimming pool...
                        ","
            Greater Accra, Cantonments
        "
"
        Furnished 2bdrm Apartment in South La for Rent
    ","
        GH₵ 9,600
    ","
                            • 2 bedrooms en-suite apt;sea side view
**bathroom with cubicle**
• spacious living area.
•kitchen...
                        ","
            Greater Accra, South La
        "
"
        2bdrm Apartment in Ashongman, Old Ashomang for Rent
    ","
        GH₵ 1,300
    ","
                            Self metre
Mechanized bore hole
Master bedrooms
Visitors washroom
Dining area.
Big and spacious...
                        ","
            Greater Accra, Old Ashomang
        "
"
        2bdrm Apartment in Ashongmang Estate, Police Station for Rent
    ","
        GH₵ 1,500
    ","
                            Two bedroom, three washroom, Hall and Dinning, Kitchen cabinet and shelf
                        ","
            Greater Accra, Ashomang Estate
        "
"
        3bdrm Apartment in Ablorh Adjei for Rent
    ","
        GH₵ 3,000
    ","
                            3 Bedroom semi furnished apartment for rent near ashogman-abokobi road. 5 minutes from action...
                        ","
            Greater Accra, Old Ashomang
        "
"
        2bdrm House in Silversky Properties, Old Ashomang for Rent
    ","
        GH₵ 2,000
    ","
                            Newly 2bedroom house self compound for rent at old ashongman abgogba junction for rent, all rooms...
                        ","
            Greater Accra, Old Ashomang
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Koblimahagu. closed to the roadside.
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm House in Tamale,Uds Nkpa for Rent
    ","
        GH₵ 1,200
    ","
                            Standard 3 bedroom house located at the university of development studies,dungu. closed to the...
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 4bdrm House in Spintex for Rent
    ","
        GH₵ 10,339
    ","
                            Fully Furnished 4, bedrooms with 5, washrooms at Shellsignbord close to Coca-Cola, Spintex with...
                        ","
            Greater Accra, Spintex
        "
"
        Furnished 2bdrm Apartment for Rent
    ","
        GH₵ 800
    ","
                            Beautiful Newly built 2bedroom Apartment.
Located at Kasoa Tuba road Kasoa.
going for 800gh accept...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 1bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 500
    ","
                            Executive chamber and hall self contained.
Located at Tuba road Kasoa
going for 500gh accept 1year...
                        ","
            Central Region, Awutu Senya West
        "
"
        2bdrm Apartment in Old Ashongman Manna, Ga East Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            Executive 2 bedrooms apartments very spacious 6 people in the compound going for 1500 negotiable
                        ","
            Greater Accra, Ga East Municipal
        "
"
        4bdrm Duplex in Living Large, Adjiriganor for Rent
    ","
        GH₵ 6,200
    ","
                            Executive 5 Bedrooms House for rent at East legon Ajiriganor ability 
#Location: Ajiriganor ability...
                        ","
            Greater Accra, Adjiriganor
        "
"
        Executive Newly Built 4 Bedroom House to Let at Sch Junct
    ","
        GH₵ 4,500
    ","
                            Executive 4 bedrooms all en-suite house for rent at east legon school junction. 

specifications:
-...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment in Airport, Accra Metropolitan for Rent
    ","
        GH₵ 18,750
    ","
                            Get comfortable in this exclusive 2 bedroom fully furnished luxurious apartment, in Airport. Comes...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 850
    ","
                            Executive newly built 2bedroom apartment.
located at kasoa kakaraba nyanyanor road.
going for 850gh...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            Two bedroom apartments available for rent at East legon
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 400
    ","
                            Executive Newly built chamber and hall self contained.Located at kasoa Nurse Quarter's.
going for...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm House in Savelulugu Street, Spintex for Rent
    ","
        GH₵ 2,200
    ","
                            3 bedrooms house for rent at spintex road Adogono
                        ","
            Greater Accra, Spintex
        "
"
        3bdrm Apartment in East Airport Near, Accra Metropolitan for Rent
    ","
        GH₵ 6,000
    ","
                            Executive three bedroom apartment for rent at east airport near tseaddo round about. $800
Agency...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 10,470
    ","
                            A contemporary 3 bedroom townhouse @ Trassacco Area, East Legon for rent for $1300 a month inclusive...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Spintex, Accra Metropolitan for Rent
    ","
        GH₵ 2,900
    ","
                            Executive 3 Bedroom Apartment for Rent at Spintex for Ghs2900/month (service charges inclusive)....
                        ","
            Greater Accra, Accra Metropolitan
        "
